Sicil_ID,Hire Date,Termination Date,Gender,Seniority,Age Range,Education Level,Title,City
M00035,43284,,Female,B,18-24,Associate Degree,YY,bartin
M00036,43365,,Female,A,46-52,Primary School,YY,aksaray
M00037,45376,,Male,B,32-38,Primary School,YY,burdur
M00038,44261,,Female,E,52+,Bachelor's Degree,TT,kirikkale
M00039,45448,,Female,A,32-38,Master's Degree,YY,niðde
M00040,42604,44576,Male,E,25-31,Bachelor's Degree,RR,hakkari
M00041,44360,,Female,E,46-52,Bachelor's Degree,TT,kars
M00042,42836,45209,Female,E,25-31,High School,XX,çorum
M00043,42579,44551,Male,C,32-38,Associate Degree,XX,gaziantep
M00044,43877,,Male,B,32-38,Doctorate,YY,van
M00045,42202,,Female,G,52+,Doctorate,PP,artvin
M00046,42716,43794,Female,C,46-52,Bachelor's Degree,RR,diyarbakir
M00047,42356,43019,Male,D,32-38,Primary School,YY,giresun
M00048,44662,,Male,G,25-31,High School,YY,hakkari
M00049,44557,,Female,E,25-31,High School,RR,sinop
M00050,45177,,Male,C,46-52,Doctorate,PP,rize
M00051,45446,,Male,E,18-24,Doctorate,ZZ,amasya
M00052,45343,45572,Female,C,39-45,Primary School,ZZ,sivas
M00053,45288,,Female,A,39-45,Associate Degree,PP,elazið
M00054,45158,,Female,A,18-24,Associate Degree,XX,þirnak
M00055,43757,44524,Female,E,39-45,High School,XX,malatya
M00056,42532,,Male,C,39-45,Associate Degree,KK,balikesir
M00057,44142,,Male,C,46-52,Bachelor's Degree,ZZ,malatya
M00058,44660,,Female,E,18-24,High School,PP,hakkari
M00059,42136,44270,Male,F,18-24,Bachelor's Degree,TT,mersin
M00060,42778,,Male,F,46-52,High School,ZZ,bilecik
M00061,42854,44782,Male,D,46-52,Doctorate,RR,edirne
M00062,42237,44289,Male,G,25-31,Bachelor's Degree,KK,uþak
M00063,42563,44799,Female,A,39-45,Primary School,RR,burdur
M00064,42293,44722,Male,C,32-38,Associate Degree,KK,elazið
M00065,42054,43485,Female,E,46-52,Associate Degree,XX,sivas
M00066,43423,44353,Male,D,52+,Associate Degree,ZZ,ankara
M00067,45456,,Female,A,25-31,Associate Degree,ZZ,kirikkale
M00068,44587,,Female,G,39-45,Master's Degree,RR,eskiþehir
M00069,44833,,Male,B,18-24,Primary School,RR,mersin
M00070,44145,,Male,A,25-31,High School,XX,uþak
M00071,45537,,Male,F,52+,Primary School,TT,edirne
M00072,42226,44653,Male,B,18-24,Bachelor's Degree,XX,van
M00073,45498,,Female,B,18-24,Master's Degree,YY,bartin
M00074,42716,43474,Male,F,25-31,High School,YY,erzincan
M00075,43691,44674,Male,C,25-31,High School,PP,bilecik
M00076,42239,42514,Male,B,39-45,Primary School,TT,rize
M00077,44974,,Male,F,18-24,Bachelor's Degree,RR,tokat
M00078,43166,43514,Male,D,18-24,High School,YY,rize
M00079,45437,,Female,D,32-38,Master's Degree,ZZ,bursa
M00080,43694,,Female,E,18-24,Primary School,YY,uþak
M00081,43285,,Male,A,32-38,Associate Degree,PP,antalya
M00082,45051,,Female,C,39-45,Doctorate,RR,kirþehir
M00083,42410,43817,Male,C,52+,Bachelor's Degree,KK,eskiþehir
M00084,42822,44149,Female,B,39-45,Primary School,KK,antalya
M00085,44409,45594,Male,G,32-38,Associate Degree,YY,gümüþhane
M00086,43671,,Male,E,18-24,High School,RR,gümüþhane
M00087,43437,,Male,F,25-31,Primary School,TT,aksaray
M00088,43394,45080,Male,B,39-45,Bachelor's Degree,XX,erzurum
M00089,44838,,Female,C,52+,Bachelor's Degree,XX,aksaray
M00090,43416,44612,Female,D,18-24,High School,ZZ,balikesir
M00091,42056,45338,Male,E,18-24,Master's Degree,ZZ,isparta
M00092,44196,,Female,E,18-24,Master's Degree,PP,gaziantep
M00093,43533,,Male,G,18-24,Doctorate,XX,nevþehir
M00094,44037,,Female,F,52+,Associate Degree,RR,muþ
M00095,43246,44732,Female,C,32-38,Doctorate,XX,ankara
M00096,43491,44496,Female,B,39-45,Associate Degree,XX,kirikkale
M00097,45556,,Female,B,39-45,High School,YY,kilis
M00098,42756,,Female,D,46-52,Associate Degree,YY,karaman
M00099,42031,44291,Female,F,32-38,Master's Degree,RR,malatya
M00100,44238,44348,Male,E,18-24,Bachelor's Degree,ZZ,karaman
M00101,43027,,Female,A,18-24,Associate Degree,KK,muðla
M00102,45399,,Male,B,46-52,Bachelor's Degree,XX,adiyaman
M00103,42458,45615,Female,E,25-31,High School,XX,çanakkale
M00104,42076,45191,Female,A,32-38,Primary School,PP,bingöl
M00105,43666,44621,Male,E,18-24,Primary School,ZZ,karaman
M00106,44054,,Male,C,39-45,Master's Degree,YY,sinop
M00107,44642,,Male,B,39-45,High School,ZZ,bursa
M00108,43634,,Female,G,46-52,Bachelor's Degree,ZZ,gaziantep
M00109,44784,,Male,A,52+,Primary School,PP,aðri
M00110,44754,45616,Female,C,46-52,High School,TT,siirt
M00111,44531,,Female,C,46-52,High School,RR,rize
M00112,43964,44309,Male,A,52+,Primary School,RR,tokat
M00113,42783,,Male,B,32-38,Associate Degree,RR,rize
M00114,44480,,Female,E,18-24,Master's Degree,ZZ,niðde
M00115,44826,45463,Male,E,32-38,Primary School,PP,tekirdað
M00116,45136,,Female,F,46-52,High School,KK,çankiri
M00117,43278,44795,Female,D,52+,Primary School,ZZ,bursa
M00118,44908,,Female,C,39-45,Master's Degree,TT,kirklareli
M00119,43175,,Female,G,46-52,High School,YY,kastamonu
M00120,42597,43835,Female,E,25-31,Doctorate,YY,osmaniye
M00121,45233,,Male,B,18-24,Bachelor's Degree,TT,karabük
M00122,42486,45485,Female,G,32-38,Associate Degree,PP,mersin
M00123,42849,45351,Female,E,46-52,Bachelor's Degree,PP,hatay
M00124,42192,,Female,A,39-45,Bachelor's Degree,RR,çorum
M00125,44772,,Male,A,39-45,Primary School,KK,gaziantep
M00126,44680,,Female,F,46-52,Master's Degree,XX,yozgat
M00127,42827,,Female,E,39-45,High School,YY,kilis
M00128,44615,,Male,A,32-38,Associate Degree,PP,karaman
M00129,45371,,Male,E,32-38,Bachelor's Degree,PP,kayseri
M00130,42513,43627,Male,B,25-31,Associate Degree,ZZ,diyarbakir
M00131,44874,,Male,F,32-38,Bachelor's Degree,XX,kirþehir
M00132,44800,,Male,F,18-24,High School,XX,düzce
M00133,45268,,Male,A,18-24,Bachelor's Degree,PP,siirt
M00134,42297,44783,Female,D,18-24,Associate Degree,KK,karaman
M00135,44586,,Male,B,25-31,Doctorate,RR,hatay
M00136,45053,45319,Male,A,39-45,Primary School,XX,erzurum
M00137,43446,45365,Male,G,18-24,Associate Degree,TT,malatya
M00138,42229,43721,Female,F,52+,High School,KK,ankara
M00139,44605,45256,Female,E,52+,Primary School,KK,osmaniye
M00140,44738,44955,Male,E,25-31,Primary School,TT,bayburt
M00141,45391,,Female,C,25-31,Master's Degree,PP,düzce
M00142,42785,,Male,F,52+,High School,PP,rize
M00143,43019,45505,Female,G,18-24,Master's Degree,PP,bitlis
M00144,43059,43358,Female,E,39-45,Bachelor's Degree,ZZ,bitlis
M00145,44671,,Female,C,46-52,Bachelor's Degree,XX,muðla
M00146,44020,45214,Female,A,32-38,Master's Degree,KK,burdur
M00147,45251,,Male,C,46-52,Primary School,KK,yozgat
M00148,44360,45572,Female,G,18-24,Master's Degree,XX,hatay
M00149,43298,44343,Female,F,18-24,Associate Degree,ZZ,aksaray
M00150,44029,45510,Male,F,39-45,Master's Degree,XX,diyarbakir
M00151,42673,43429,Female,D,32-38,Doctorate,KK,eskiþehir
M00152,45595,,Male,F,32-38,Bachelor's Degree,ZZ,samsun
M00153,42186,45406,Male,G,25-31,Bachelor's Degree,TT,hakkari
M00154,43673,,Female,C,52+,Bachelor's Degree,ZZ,batman
M00155,43232,,Female,B,32-38,Associate Degree,ZZ,manisa
M00156,42279,43309,Female,F,25-31,Bachelor's Degree,XX,aksaray
M00157,45430,,Female,F,39-45,Doctorate,XX,gaziantep
M00158,44789,,Male,F,52+,Bachelor's Degree,YY,tokat
M00159,43732,,Female,F,32-38,Bachelor's Degree,TT,sivas
M00160,42012,42412,Male,A,39-45,Primary School,TT,kahramanmaraþ
M00161,44836,,Female,A,25-31,Primary School,KK,kirikkale
M00162,45262,,Female,C,39-45,Associate Degree,YY,aydin
M00163,43671,44163,Male,D,39-45,Primary School,KK,bilecik
M00164,45213,45560,Female,C,18-24,High School,ZZ,hatay
M00165,42895,44477,Male,C,18-24,Primary School,TT,rize
M00166,42562,45475,Female,B,46-52,Primary School,KK,siirt
M00167,44117,45090,Male,D,18-24,Bachelor's Degree,PP,muþ
M00168,42019,44922,Female,D,46-52,Associate Degree,ZZ,adana
M00169,43327,45042,Female,C,52+,High School,XX,diyarbakir
M00170,42467,44151,Female,E,46-52,High School,KK,mardin
M00171,42488,42662,Female,A,25-31,Master's Degree,TT,uþak
M00172,42503,43346,Female,C,32-38,Master's Degree,KK,hakkari
M00173,45553,,Female,D,39-45,Primary School,YY,bayburt
M00174,42362,43803,Female,C,25-31,Bachelor's Degree,YY,mardin
M00175,43406,,Female,B,25-31,Master's Degree,YY,manisa
M00176,44936,,Female,F,32-38,Bachelor's Degree,TT,diyarbakir
M00177,43980,,Male,A,52+,Primary School,KK,balikesir
M00178,42963,45330,Female,D,39-45,Primary School,RR,denizli
M00179,44221,,Female,A,25-31,Doctorate,KK,bayburt
M00180,43577,,Female,D,39-45,Associate Degree,PP,erzincan
M00181,42596,44394,Female,D,32-38,Associate Degree,PP,adana
M00182,45441,,Female,C,25-31,High School,RR,aðri
M00183,43032,,Female,E,52+,Doctorate,PP,bursa
M00184,43820,,Male,F,52+,Associate Degree,YY,kirþehir
M00185,43656,45159,Male,B,32-38,Associate Degree,XX,bitlis
M00186,42022,42839,Female,G,46-52,Primary School,KK,bolu
M00187,44680,45144,Male,G,46-52,Primary School,PP,rize
M00188,44902,,Female,F,18-24,Primary School,PP,kirikkale
M00189,42566,44108,Male,G,39-45,High School,ZZ,ordu
M00190,44853,,Male,A,32-38,Associate Degree,TT,çankiri
M00191,42617,44357,Female,A,25-31,Associate Degree,RR,çankiri
M00192,42568,43453,Female,D,18-24,Bachelor's Degree,RR,aðri
M00193,44179,44632,Male,F,39-45,Master's Degree,YY,denizli
M00194,42647,44210,Male,B,18-24,Bachelor's Degree,RR,trabzon
M00195,44040,,Female,C,39-45,Primary School,RR,batman
M00196,42778,44449,Male,D,18-24,Doctorate,KK,balikesir
M00197,44575,,Male,G,39-45,Associate Degree,RR,þirnak
M00198,45400,,Male,B,32-38,Bachelor's Degree,ZZ,kocaeli
M00199,42129,44876,Male,A,39-45,Doctorate,KK,elazið
M00200,43005,45257,Female,A,32-38,Associate Degree,ZZ,ankara
M00201,44968,,Male,C,18-24,Bachelor's Degree,XX,batman
M00202,43833,,Male,F,32-38,Primary School,KK,artvin
M00203,42120,42668,Male,G,18-24,Master's Degree,PP,çorum
M00204,43359,45004,Male,B,25-31,Master's Degree,YY,kahramanmaraþ
M00205,42057,43181,Female,C,18-24,Bachelor's Degree,XX,mersin
M00206,45121,,Female,F,46-52,Doctorate,YY,ankara
M00207,45177,,Male,F,39-45,High School,PP,konya
M00208,43674,44945,Male,A,39-45,Doctorate,XX,kilis
M00209,45079,,Male,B,52+,Primary School,YY,bartin
M00210,43678,45053,Male,B,39-45,High School,YY,þirnak
M00211,43481,44165,Male,F,46-52,Primary School,TT,bolu
M00212,43314,,Female,E,46-52,Associate Degree,KK,tunceli
M00213,43676,,Female,B,39-45,Master's Degree,PP,konya
M00214,42058,43372,Female,B,46-52,Bachelor's Degree,YY,izmir
M00215,44077,45623,Female,D,18-24,Associate Degree,PP,rize
M00216,44467,,Male,F,46-52,Master's Degree,YY,osmaniye
M00217,44568,,Male,F,46-52,Doctorate,TT,uþak
M00218,44098,44968,Male,E,46-52,Bachelor's Degree,RR,aksaray
M00219,43891,45197,Female,F,39-45,Associate Degree,RR,rize
M00220,44384,45015,Male,F,52+,Master's Degree,RR,nevþehir
M00221,44099,,Female,F,52+,Primary School,YY,istanbul
M00222,43293,44937,Male,F,46-52,Doctorate,ZZ,kütahya
M00223,45463,,Male,G,52+,Primary School,RR,zonguldak
M00224,43348,,Male,A,25-31,High School,XX,kocaeli
M00225,44377,,Male,C,32-38,Master's Degree,RR,kirklareli
M00226,43066,44595,Female,A,52+,Associate Degree,XX,muðla
M00227,42516,43223,Male,E,39-45,Bachelor's Degree,KK,aydin
M00228,45414,,Female,C,39-45,Associate Degree,PP,aðri
M00229,45555,,Male,E,25-31,Primary School,TT,kirklareli
M00230,42850,45142,Male,A,18-24,Doctorate,TT,tokat
M00231,44190,,Male,C,32-38,Master's Degree,TT,burdur
M00232,43823,,Female,F,18-24,Bachelor's Degree,KK,konya
M00233,43024,,Female,G,52+,Primary School,TT,uþak
M00234,43854,,Male,G,18-24,Master's Degree,ZZ,eskiþehir
M00235,43824,44544,Female,G,46-52,Associate Degree,KK,bingöl
M00236,43061,45047,Female,D,52+,Bachelor's Degree,PP,trabzon
M00237,42890,45418,Male,B,39-45,Bachelor's Degree,YY,siirt
M00238,44681,,Female,G,25-31,Primary School,YY,sinop
M00239,45012,,Male,F,46-52,Doctorate,PP,çankiri
M00240,43449,,Male,C,46-52,Doctorate,PP,hatay
M00241,42034,45171,Male,D,46-52,Associate Degree,XX,giresun
M00242,43389,,Female,B,52+,Doctorate,TT,mersin
M00243,43199,44586,Male,E,32-38,Primary School,RR,sinop
M00244,45488,,Female,F,39-45,Bachelor's Degree,YY,adiyaman
M00245,45198,,Male,E,39-45,Bachelor's Degree,TT,kirikkale
M00246,43184,44308,Female,E,25-31,High School,XX,erzincan
M00247,45548,,Female,E,18-24,Master's Degree,KK,erzurum
M00248,45433,,Male,C,46-52,High School,KK,ordu
M00249,45027,,Female,E,52+,Primary School,XX,samsun
M00250,43618,,Male,B,18-24,High School,PP,çorum
M00251,42402,44493,Female,E,52+,Associate Degree,RR,niðde
M00252,43635,44362,Female,A,18-24,Bachelor's Degree,TT,çankiri
M00253,44955,,Male,G,52+,Doctorate,TT,çanakkale
M00254,43696,,Female,E,46-52,High School,PP,karaman
M00255,42785,,Male,D,39-45,Master's Degree,XX,kirikkale
M00256,42834,,Female,D,46-52,Associate Degree,PP,muðla
M00257,44207,45451,Female,A,39-45,Doctorate,YY,niðde
M00258,44692,,Male,D,39-45,Bachelor's Degree,TT,adana
M00259,45458,,Male,G,18-24,Primary School,PP,erzurum
M00260,42761,,Male,B,46-52,High School,PP,yozgat
M00261,42985,45254,Male,E,32-38,High School,KK,osmaniye
M00262,45217,,Female,A,25-31,Associate Degree,YY,kayseri
M00263,43249,43624,Male,G,32-38,Associate Degree,YY,erzincan
M00264,43987,,Male,F,39-45,Master's Degree,YY,batman
M00265,44566,,Female,C,25-31,Master's Degree,KK,mardin
M00266,45099,,Male,C,18-24,Bachelor's Degree,TT,denizli
M00267,42735,45456,Male,F,46-52,Primary School,PP,eskiþehir
M00268,43987,,Female,B,32-38,Bachelor's Degree,RR,gümüþhane
M00269,42307,43781,Female,G,46-52,Doctorate,ZZ,ankara
M00270,44376,,Male,A,32-38,Associate Degree,TT,kahramanmaraþ
M00271,44015,44251,Male,F,32-38,Bachelor's Degree,YY,çankiri
M00272,42829,,Female,F,25-31,Master's Degree,ZZ,ardahan
M00273,44879,,Male,B,25-31,Master's Degree,YY,artvin
M00274,44967,45476,Female,F,25-31,Doctorate,YY,muðla
M00275,45415,,Female,B,18-24,Bachelor's Degree,XX,zonguldak
M00276,42406,44968,Male,G,32-38,Primary School,PP,bingöl
M00277,44067,,Male,F,52+,Associate Degree,ZZ,tekirdað
M00278,43284,,Male,D,18-24,Associate Degree,RR,antalya
M00279,45195,,Male,D,46-52,High School,TT,aksaray
M00280,44982,,Female,C,32-38,Primary School,YY,bingöl
M00281,42504,42963,Female,F,39-45,Associate Degree,KK,van
M00282,45242,,Female,G,46-52,Primary School,KK,edirne
M00283,44736,,Male,B,39-45,Primary School,RR,istanbul
M00284,42613,45456,Female,A,46-52,Doctorate,KK,izmir
M00285,44041,,Male,A,25-31,Doctorate,TT,van
M00286,44820,,Male,A,46-52,Associate Degree,TT,eskiþehir
M00287,42475,42906,Male,D,46-52,Master's Degree,KK,istanbul
M00288,44674,,Female,G,18-24,Master's Degree,KK,sivas
M00289,44476,45519,Female,B,39-45,Doctorate,KK,þanliurfa
M00290,42027,42480,Male,A,32-38,Master's Degree,XX,düzce
M00291,43798,45390,Female,F,46-52,Bachelor's Degree,XX,kocaeli
M00292,42931,,Male,E,52+,Master's Degree,XX,denizli
M00293,45161,45647,Female,C,25-31,Associate Degree,TT,diyarbakir
M00294,44534,,Male,D,39-45,Associate Degree,KK,osmaniye
M00295,42778,44981,Female,E,52+,Master's Degree,KK,trabzon
M00296,42060,43292,Female,G,32-38,High School,ZZ,hatay
M00297,43410,,Female,A,25-31,Associate Degree,PP,kocaeli
M00298,42724,43648,Male,G,32-38,Doctorate,TT,tunceli
M00299,42661,43090,Male,C,25-31,Associate Degree,PP,kütahya
M00300,44903,,Female,B,18-24,Associate Degree,ZZ,bartin
M00301,43916,44862,Female,C,25-31,Associate Degree,YY,artvin
M00302,45364,,Female,F,25-31,Doctorate,TT,giresun
M00303,45196,,Female,D,46-52,High School,RR,isparta
M00304,43969,,Male,A,39-45,Associate Degree,PP,samsun
M00305,45621,,Male,D,52+,Doctorate,ZZ,kahramanmaraþ
M00306,45274,,Male,F,18-24,High School,TT,kirikkale
M00307,42896,,Male,D,52+,Associate Degree,XX,sakarya
M00308,42452,43343,Male,E,32-38,Bachelor's Degree,RR,aydin
M00309,43504,44836,Male,E,52+,High School,PP,edirne
M00310,43027,44215,Male,E,46-52,Primary School,RR,isparta
M00311,44860,,Female,A,25-31,High School,XX,manisa
M00312,43201,44660,Male,D,39-45,Doctorate,ZZ,kütahya
M00313,43382,,Female,F,25-31,Doctorate,KK,kirikkale
M00314,42598,44445,Female,B,25-31,Doctorate,XX,mardin
M00315,43241,44882,Female,E,46-52,Bachelor's Degree,ZZ,burdur
M00316,42257,42628,Male,E,32-38,Doctorate,XX,diyarbakir
M00317,44967,,Female,F,25-31,Associate Degree,XX,kirklareli
M00318,42600,43468,Female,C,39-45,Primary School,TT,ardahan
M00319,42102,44638,Female,G,32-38,Doctorate,ZZ,zonguldak
M00320,44736,,Female,D,18-24,Bachelor's Degree,ZZ,elazið
M00321,43923,,Female,D,52+,Associate Degree,RR,aydin
M00322,42599,45005,Female,E,46-52,Bachelor's Degree,YY,afyonkarahisar
M00323,42688,,Male,C,18-24,Doctorate,RR,zonguldak
M00324,44874,,Male,F,46-52,Bachelor's Degree,KK,afyonkarahisar
M00325,43616,,Male,G,46-52,Primary School,RR,artvin
M00326,43569,,Female,A,32-38,High School,ZZ,edirne
M00327,44374,44933,Female,D,52+,Master's Degree,ZZ,trabzon
M00328,43882,,Male,G,46-52,Master's Degree,KK,kayseri
M00329,42207,44391,Male,C,39-45,Bachelor's Degree,ZZ,adana
M00330,42948,,Male,F,52+,High School,KK,ordu
M00331,44944,,Female,B,39-45,Doctorate,KK,gaziantep
M00332,43271,,Male,G,32-38,Doctorate,YY,artvin
M00333,45501,,Female,E,46-52,Doctorate,XX,kütahya
M00334,45007,,Female,A,46-52,Master's Degree,XX,antalya
M00335,43350,45308,Female,B,52+,Primary School,RR,çankiri
M00336,45401,,Male,F,18-24,Master's Degree,YY,þirnak
M00337,43479,45258,Female,C,39-45,Bachelor's Degree,ZZ,þanliurfa
M00338,43706,,Male,G,32-38,High School,YY,artvin
M00339,43735,45414,Male,B,46-52,Doctorate,KK,mersin
M00340,43235,,Female,F,32-38,High School,XX,osmaniye
M00341,43264,,Male,G,18-24,Doctorate,ZZ,kastamonu
M00342,43947,,Female,C,46-52,Master's Degree,ZZ,adiyaman
M00343,43002,43854,Female,E,39-45,Primary School,TT,erzurum
M00344,45554,,Female,C,39-45,Bachelor's Degree,RR,van
M00345,43055,44807,Male,G,32-38,High School,YY,uþak
M00346,42447,43176,Male,G,18-24,Bachelor's Degree,KK,çanakkale
M00347,43552,,Female,B,52+,Bachelor's Degree,RR,muþ
M00348,42516,42973,Female,A,18-24,Master's Degree,KK,þirnak
M00349,43999,44981,Female,G,39-45,Doctorate,TT,yalova
M00350,44151,44758,Male,B,25-31,Primary School,RR,kayseri
M00351,44030,44394,Male,G,25-31,Associate Degree,YY,mersin
M00352,44770,,Male,D,52+,Primary School,ZZ,rize
M00353,42857,44165,Female,C,25-31,Bachelor's Degree,PP,van
M00354,43866,,Male,F,46-52,Master's Degree,YY,siirt
M00355,42308,,Female,E,52+,Doctorate,RR,bingöl
M00356,43607,,Male,A,46-52,Bachelor's Degree,PP,kirklareli
M00357,44767,,Female,C,52+,High School,YY,trabzon
M00358,42260,45429,Female,F,52+,Associate Degree,ZZ,amasya
M00359,42862,44189,Male,G,32-38,Associate Degree,TT,niðde
M00360,44089,,Female,G,39-45,Master's Degree,TT,erzurum
M00361,44044,45274,Female,B,32-38,Primary School,XX,kirikkale
M00362,43461,44340,Female,A,18-24,Primary School,ZZ,iðdir
M00363,43009,43844,Male,C,32-38,Master's Degree,XX,adana
M00364,42979,45060,Female,C,25-31,Bachelor's Degree,YY,çanakkale
M00365,42325,45093,Male,G,46-52,Bachelor's Degree,TT,mardin
M00366,45393,,Female,C,25-31,High School,PP,burdur
M00367,43892,,Male,B,25-31,Bachelor's Degree,XX,ordu
M00368,43723,,Female,D,52+,Primary School,PP,edirne
M00369,45067,,Female,E,25-31,Doctorate,ZZ,malatya
M00370,44131,44591,Male,C,39-45,High School,KK,çankiri
M00371,42874,43330,Female,B,39-45,Primary School,KK,þanliurfa
M00372,43363,,Male,F,39-45,High School,ZZ,istanbul
M00373,42782,,Female,F,32-38,Associate Degree,YY,malatya
M00374,45126,,Female,A,39-45,Associate Degree,RR,adana
M00375,42560,43223,Male,B,39-45,Master's Degree,KK,muðla
M00376,45218,,Female,G,46-52,High School,KK,zonguldak
M00377,43758,,Female,B,52+,High School,RR,manisa
M00378,43483,,Female,F,25-31,Doctorate,XX,nevþehir
M00379,43111,44622,Female,A,18-24,Primary School,ZZ,hatay
M00380,45039,,Male,D,18-24,Bachelor's Degree,ZZ,hakkari
M00381,45578,,Male,B,52+,High School,ZZ,kars
M00382,45506,,Male,G,52+,Primary School,ZZ,malatya
M00383,45453,,Male,C,32-38,Doctorate,YY,mersin
M00384,44318,,Male,C,32-38,Primary School,ZZ,düzce
M00385,45613,,Female,B,32-38,Bachelor's Degree,RR,adiyaman
M00386,44527,,Female,G,18-24,Bachelor's Degree,PP,niðde
M00387,42404,45378,Male,A,18-24,Associate Degree,YY,konya
M00388,43793,44552,Male,D,32-38,High School,PP,bartin
M00389,43943,,Male,B,52+,Bachelor's Degree,KK,karabük
M00390,42330,44140,Female,C,46-52,High School,RR,nevþehir
M00391,42058,43727,Male,E,32-38,Bachelor's Degree,RR,isparta
M00392,44032,45098,Female,D,32-38,Bachelor's Degree,ZZ,muþ
M00393,42662,,Male,E,39-45,Master's Degree,ZZ,tunceli
M00394,42961,45402,Female,G,39-45,Associate Degree,YY,hakkari
M00395,44647,,Male,E,46-52,Primary School,RR,erzurum
M00396,42322,45121,Female,G,39-45,Bachelor's Degree,YY,çankiri
M00397,42643,45566,Male,A,46-52,High School,XX,osmaniye
M00398,44153,45637,Female,G,46-52,Associate Degree,TT,adiyaman
M00399,42900,,Female,D,25-31,Master's Degree,RR,þanliurfa
M00400,44315,45515,Male,A,52+,Primary School,TT,ardahan
M00401,45155,,Male,A,32-38,Associate Degree,PP,çankiri
M00402,44733,,Female,F,52+,Primary School,YY,kirklareli
M00403,44366,,Male,G,25-31,Doctorate,PP,kahramanmaraþ
M00404,43772,44936,Female,F,18-24,High School,ZZ,karaman
M00405,44863,,Female,C,25-31,High School,TT,batman
M00406,43894,45410,Male,E,52+,Master's Degree,RR,bartin
M00407,45247,,Female,C,18-24,Primary School,KK,sivas
M00408,44889,,Female,F,25-31,Bachelor's Degree,TT,düzce
M00409,42366,44841,Female,B,32-38,Associate Degree,XX,rize
M00410,44052,44453,Male,F,32-38,Doctorate,ZZ,eskiþehir
M00411,43496,,Male,B,39-45,Master's Degree,KK,edirne
M00412,45579,,Male,E,46-52,Primary School,RR,hatay
M00413,42455,43189,Male,D,52+,High School,RR,þanliurfa
M00414,42603,43002,Male,D,39-45,Master's Degree,YY,tekirdað
M00415,44784,,Male,D,18-24,Associate Degree,KK,erzincan
M00416,42921,43848,Male,C,39-45,Bachelor's Degree,XX,izmir
M00417,42560,45545,Male,G,25-31,Master's Degree,TT,eskiþehir
M00418,44098,,Female,F,18-24,Master's Degree,PP,tokat
M00419,43345,44340,Male,B,39-45,Bachelor's Degree,KK,adana
M00420,42955,,Female,F,18-24,Master's Degree,PP,aydin
M00421,43765,,Male,D,52+,Master's Degree,PP,tekirdað
M00422,44846,,Female,A,32-38,Primary School,XX,artvin
M00423,43734,,Female,D,46-52,Bachelor's Degree,ZZ,siirt
M00424,42281,45102,Male,D,18-24,Associate Degree,ZZ,amasya
M00425,44558,,Female,A,18-24,Primary School,PP,sinop
M00426,44248,,Male,D,52+,Doctorate,KK,bingöl
M00427,44673,,Female,D,25-31,Primary School,RR,adana
M00428,44373,,Female,E,32-38,Primary School,YY,bitlis
M00429,45281,,Female,A,52+,Associate Degree,RR,kirikkale
M00430,44409,,Female,C,18-24,Primary School,KK,amasya
M00431,44601,,Male,A,46-52,High School,YY,siirt
M00432,42385,43511,Female,G,25-31,Bachelor's Degree,TT,rize
